"id","iddoc","mois_installation","an_installation","nb_panneaux","panneaux_marque","panneaux_modele","nb_onduleur","onduleur_marque","onduleur_modele","puissance_crete","surface","pente","pente_optimum","orientation","orientation_optimum","installateur","production_pvgis","lat","lon","country","postal_code","postal_code_suffix","postal_town","locality","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","political"
"101","25","12","2007","18","SHARP","NE-165 U1","1","Mastervolt","SunMaster QS 3500","2970","23","20","38","25","2","Helio Therma","4027","43.40","3.65","France","34200",,,"SÃ¨te","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","HÃ©rault",,,
"102","27","06","2007","8","KIOTO","KPV ME 250","8","Enphase Energy","M215-60-230-S22","2000","13","25","37","15","0","Vivreco+PlacementSolaire","2053","48.66","6.26","France","54510",,,"Art-sur-Meurthe","Grand Est","Meurthe-et-Moselle",,,
"103","28","11","2007","14","Total Energie","TE 2000/210W Mono","1","Tenesol","Connectis EI 1900","2940","23","25",,"45",,"ENR SYSTEMS","0","50.53","2.64","France","62400",,,"BÃ©thune","Nord-Pas-de-Calais Picardie","Pas-de-Calais",,,
"104","29","12","2006","20","Solar-Fabrik","SF 115","1","CONERGY","WR 2300","2300","25","30","36","30","9","PIE ENERGIES","2680","45.22","5.68","France","38120",,,"Saint-Egrève","Auvergne-Rhône-Alpes","Isère",,,
"105","31","04","2008","10","Schuco","S 320-PM-2","1","SMA","Sunny Boy 3000","3200","23","25","38","-25","-3","SYS ENR","3376","48.64","2.24","France","91460",,,"Marcoussis","ÃŽle-de-France","Essonne",,,
"106","32","04","2005","14","Tenesol","TE 2000/200 Mono","1","Tenesol","Energrid EG 2500","2800","21","25","37","25","1","ESE","3431","43.61","1.32","France","31770",,,"Colomiers","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Haute-Garonne",,,
"107","33","09","2007","10","Sanyo","HIP-215 NKHE5","1","SMA","Sunny Boy 2100TL","2150","13","40",,"Sud",,"SEROL Bernard","0","46.05","4.05","France","42153",,,"Riorges","Auvergne-RhÃ´ne-Alpes","Loire",,,
"108","36","11","2002","24","BP Solar","BP585L Saturn","1","SMA","Sunny Boy 1700","2040","0","20",,"-90",,"APEX Energies (ex BP Solar)","0","43.71","7.11","France","06140",,,"Vence","Provence-Alpes-CÃ´te d'Azur","Alpes-Maritimes",,,
"110","40","05","2007","24","SHARP","NE-Q7E3E","1","Fronius","IG 40 4100W","4008","28","15","38","10","-3","DELANNOY Robin","5421","43.97","4.68","France","30650",,,"Rochefort-du-Gard","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Gard",,,
"112","43","08","2007","24","Kyocera","KC 130 GHT-2","1","Fronius","IG 30","3120","22","20","39","-20","0","http://www.marseille-energierenouvelable","4458","43.94","5.01","France","84740",,,"Velleron","Provence-Alpes-CÃ´te d'Azur","Vaucluse",,,
